year,month,state_id,gender_id,value,pp_id
2035,July,32,1,2686,638
2035,July,32,2,2275,639
2035,July,23,3,825,640
2035,July,23,1,445,641
2035,July,23,2,380,642
2035,July,25,3,16863,643
2035,July,25,1,9003,644
2035,July,25,2,7860,645
2035,July,11,3,44214,646
2035,July,11,1,23518,647
2035,July,11,2,20696,648
2035,July,33,3,1454,649
2035,July,33,1,744,650
2035,July,33,2,711,651
2035,July,29,3,26319,652
2035,July,29,1,14089,653
2035,July,29,2,12230,654
2035,July,34,3,1844,655
2035,July,34,1,1558,656
2035,July,34,2,287,657
2035,July,34,3,1312,658
2035,July,34,1,780,659
2035,July,34,2,532,660
2035,July,4,3,10530,661
2035,July,4,1,5383,662
2035,July,4,2,5147,663
2035,July,19,3,1354,664
2035,July,19,1,743,665
2035,July,19,2,611,666
2035,July,2,3,19533,667
2035,July,2,1,10308,668
2035,July,2,2,9225,669
2035,July,5,3,6702,670
2035,July,5,1,3444,671
2035,July,5,2,3258,672
2035,July,26,3,487,673
2035,July,26,1,258,674
2035,July,26,2,229,675
2035,July,14,3,24026,676
2035,July,14,1,12092,677
2035,July,14,2,11934,678
2035,July,30,3,211,679
2035,July,30,1,113,680
2035,July,30,2,98,681
2035,July,37,3,589204,682
2035,July,37,1,305803,683
2035,July,37,2,283401,684
2034,October,8,3,42913,685
2034,October,8,1,22075,686
2034,October,8,2,20838,687
2034,October,12,3,5310,688
2034,October,12,1,2818,689
2034,October,12,2,2491,690
2034,October,16,3,66034,691
2034,October,16,1,34865,692
2034,October,16,2,31169,693
2034,October,28,3,2367,694
2034,October,28,1,1199,695
2034,October,28,2,1167,696
2034,October,20,3,22154,697
2034,October,20,1,11149,698
2034,October,20,2,11004,699
2034,October,13,3,46036,700
2034,October,13,1,23018,701
2034,October,13,2,23018,702
2034,October,31,3,542,703
2034,October,31,1,283,704
2034,October,31,2,259,705
2034,October,15,3,25315,706
2034,October,15,1,13226,707
2034,October,15,2,12089,708
2034,October,17,3,14979,709
2034,October,17,1,7989,710
2034,October,17,2,6990,711
2034,October,21,3,1520,712
2034,October,21,1,744,713
2034,October,21,2,776,714
2034,October,9,3,10253,715
2034,October,9,1,5307,716
2034,October,9,2,4946,717
