year,month,state_id,vehicle,fuel,value,vehicle_id
2025,April,2,E-RICKSHAW WITH CART (G),ELECTRIC(BOV),121,133
2025,April,2,E-RICKSHAW WITH CART (G),ELECTRIC(BOV),45,133
2025,April,2,E-RICKSHAW(P),ELECTRIC(BOV),3042,138
2025,April,2,E-RICKSHAW(P),ELECTRIC(BOV),1151,138
2025,April,2,EARTH MOVING EQUIPMENT,DIESEL,2,248
2025,April,2,GOODS CARRIER,CNG ONLY,126,184
2025,April,2,GOODS CARRIER,DIESEL,2268,182
2025,April,2,GOODS CARRIER,ELECTRIC(BOV),30,185
2025,April,2,GOODS CARRIER,PETROL,26,183
2025,April,2,GOODS CARRIER,PETROL/CNG,6,186
2025,April,2,GOODS CARRIER,ELECTRIC(BOV),7,185
2025,April,2,HARVESTER,DIESEL,113,284
2025,April,2,M-CYCLE/SCOOTER,CNG ONLY,173,80
2025,April,2,M-CYCLE/SCOOTER,ELECTRIC(BOV),215,77
2025,April,2,M-CYCLE/SCOOTER,ETHANOL,9,81
2025,April,2,M-CYCLE/SCOOTER,PETROL,100128,78
2025,April,2,M-CYCLE/SCOOTER,PETROL/ETHANOL,10064,79
2025,April,2,M-CYCLE/SCOOTER,ELECTRIC(BOV),1067,77
2025,April,2,M-CYCLE/SCOOTER-WITH SIDE CAR,ELECTRIC(BOV),1,95
2025,April,2,M-CYCLE/SCOOTER-WITH SIDE CAR,PETROL,122,96
2025,April,2,M-CYCLE/SCOOTER-WITH SIDE CAR,PETROL/ETHANOL,12,97
2025,April,2,M-CYCLE/SCOOTER-WITH SIDE CAR,ELECTRIC(BOV),25,95
2025,April,2,MAXI CAB,CNG ONLY,119,60
2025,April,2,MAXI CAB,DIESEL,18,59
2025,April,2,MAXI CAB,PETROL,43,61
2025,April,2,MAXI CAB,PETROL/ETHANOL,13,62
2025,April,2,MOPED,ELECTRIC(BOV),22,87
2025,April,2,MOPED,PETROL,944,86
2025,April,2,MOPED,PETROL/ETHANOL,18,88
2025,April,2,MOPED,ELECTRIC(BOV),474,87
2025,April,2,MOTOR CAB,DIESEL,51,48
2025,April,2,MOTOR CAB,PETROL,28,49
2025,April,2,MOTOR CAB,PETROL/CNG,191,51
2025,April,2,MOTOR CAB,PETROL/ETHANOL,3,52
2025,April,2,MOTOR CAB,PETROL/HYBRID,2,50
2025,April,2,MOTOR CAB,PETROL/HYBRID,1,50
2025,April,2,MOTOR CAR,DIESEL,1431,152
2025,April,2,MOTOR CAR,DIESEL/HYBRID,2,157
2025,April,2,MOTOR CAR,ELECTRIC(BOV),29,156
2025,April,2,MOTOR CAR,PETROL,2369,153
2025,April,2,MOTOR CAR,PETROL/CNG,1338,158
2025,April,2,MOTOR CAR,PETROL/ETHANOL,1033,154
2025,April,2,MOTOR CAR,PETROL/HYBRID,459,155
2025,April,2,MOTOR CAR,ELECTRIC(BOV),50,156
2025,April,2,MOTOR CAR,PETROL/HYBRID,37,155
2025,April,2,MOTORISED CYCLE (CC > 25CC),ELECTRIC(BOV),6,91
2025,April,2,MOTORISED CYCLE (CC > 25CC),PETROL,20,92
2025,April,2,MOTORISED CYCLE (CC > 25CC),PETROL/ETHANOL,8,93
2025,April,2,MOTORISED CYCLE (CC > 25CC),ELECTRIC(BOV),94,91
2025,April,2,OMNI BUS,CNG ONLY,10,10
2025,April,2,OMNI BUS,DIESEL,54,9
2025,April,2,ROAD ROLLER,DIESEL,4,258
2025,April,2,THREE WHEELER (GOODS),CNG ONLY,265,110
2025,April,2,THREE WHEELER (GOODS),DIESEL,106,109
2025,April,2,THREE WHEELER (GOODS),ELECTRIC(BOV),91,111
2025,April,2,THREE WHEELER (PASSENGER),CNG ONLY,1030,118
2025,April,2,THREE WHEELER (PASSENGER),DIESEL,8,119
2025,April,2,THREE WHEELER (PASSENGER),ELECTRIC(BOV),722,120
2025,April,2,THREE WHEELER (PASSENGER),LPG ONLY,238,121
2025,April,2,THREE WHEELER (PASSENGER),ELECTRIC(BOV),612,120
2025,April,2,TRACTOR (COMMERCIAL),DIESEL,985,224
2025,April,2,TRACTOR (COMMERCIAL),NOT APPLICABLE,1,225
2025,April,2,TRAILER (AGRICULTURAL),NOT APPLICABLE,5,289
2025,April,2,TRAILER (COMMERCIAL),NOT APPLICABLE,383,238
2025,April,19,ADAPTED VEHICLE,DIESEL,1,328
2025,April,19,ADAPTED VEHICLE,PETROL,14,325
2025,April,19,ADAPTED VEHICLE,PETROL/CNG,1,329
2025,April,19,ADAPTED VEHICLE,PETROL/ETHANOL,1,326
2025,April,19,ADAPTED VEHICLE,PETROL/HYBRID,1,327
2025,April,19,AGRICULTURAL TRACTOR,DIESEL,5,276
2025,April,19,AMBULANCE,PETROL,3,295
2025,April,19,ARMOURED/SPECIALISED VEHICLE,DIESEL,4,323
2025,April,19,BUS,DIESEL,73,1
2025,April,19,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),DIESEL,1,245
2025,April,19,E-RICKSHAW WITH CART (G),ELECTRIC(BOV),35,133
2025,April,19,E-RICKSHAW WITH CART (G),ELECTRIC(BOV),15,133
2025,April,19,E-RICKSHAW(P),ELECTRIC(BOV),59,138
2025,April,19,E-RICKSHAW(P),ELECTRIC(BOV),3,138
2025,April,19,EDUCATIONAL INSTITUTION BUS,CNG ONLY,1,27
2025,April,19,EDUCATIONAL INSTITUTION BUS,DIESEL,6,26
2025,April,19,GOODS CARRIER,CNG ONLY,4,184
2025,April,19,GOODS CARRIER,DIESEL,75,182
2025,April,19,GOODS CARRIER,PETROL,2,183
2025,April,19,GOODS CARRIER,PETROL/CNG,1,186
2025,April,19,GOODS CARRIER,PETROL/ETHANOL,2,187
2025,April,19,M-CYCLE/SCOOTER,CNG ONLY,4,80
2025,April,19,M-CYCLE/SCOOTER,ELECTRIC(BOV),13,77
2025,April,19,M-CYCLE/SCOOTER,PETROL,1489,78
2025,April,19,M-CYCLE/SCOOTER,PETROL/ETHANOL,196,79
2025,April,19,M-CYCLE/SCOOTER,ELECTRIC(BOV),116,77
2025,April,19,MOTOR CAB,PETROL,1,49
2025,April,19,MOTOR CAB,PETROL/CNG,4,51
2025,April,19,MOTOR CAB,ELECTRIC(BOV),1,53
2025,April,19,MOTOR CAR,DIESEL,370,152
2025,April,19,MOTOR CAR,DIESEL/HYBRID,11,157
2025,April,19,MOTOR CAR,ELECTRIC(BOV),9,156
2025,April,19,MOTOR CAR,PETROL,663,153
2025,April,19,MOTOR CAR,PETROL/CNG,45,158
2025,April,19,MOTOR CAR,PETROL/ETHANOL,155,154
2025,April,19,MOTOR CAR,PETROL/HYBRID,133,155
2025,April,19,MOTOR CAR,ELECTRIC(BOV),64,156
2025,April,19,MOTOR CAR,PETROL/HYBRID,113,155
2025,April,19,MOTOR CYCLE/SCOOTER-USED FOR HIRE,CNG ONLY,1,106
2025,April,19,MOTOR CYCLE/SCOOTER-USED FOR HIRE,PETROL,1,105
2025,April,19,MOTOR CYCLE/SCOOTER-USED FOR HIRE,PETROL/ETHANOL,1,107
2025,April,19,THREE WHEELER (GOODS),CNG ONLY,2,110
2025,April,19,THREE WHEELER (GOODS),DIESEL,10,109
2025,April,19,THREE WHEELER (GOODS),ELECTRIC(BOV),3,111
2025,April,19,THREE WHEELER (GOODS),ELECTRIC(BOV),1,111
2025,April,19,THREE WHEELER (PASSENGER),ELECTRIC(BOV),8,120
2025,April,19,THREE WHEELER (PASSENGER),ELECTRIC(BOV),3,120
2025,April,4,ADAPTED VEHICLE,PETROL,3,325
2025,April,4,ADAPTED VEHICLE,PETROL/ETHANOL,1,326
2025,April,4,ADAPTED VEHICLE,PETROL/HYBRID,1,327
2025,April,4,AGRICULTURAL TRACTOR,DIESEL,2485,276
2025,April,4,AMBULANCE,DIESEL,10,294
2025,April,4,AMBULANCE,PETROL,10,295
2025,April,4,ARTICULATED VEHICLE,DIESEL,145,216
2025,April,4,BUS,DIESEL,96,1
2025,April,4,CONSTRUCTION EQUIPMENT VEHICLE,DIESEL,79,240
2025,April,4,CRANE MOUNTED VEHICLE,DIESEL,28,259
2025,April,4,DUMPER,DIESEL,2,234
2025,April,4,E-RICKSHAW WITH CART (G),ELECTRIC(BOV),149,133
2025,April,4,E-RICKSHAW WITH CART (G),ELECTRIC(BOV),79,133
2025,April,4,E-RICKSHAW(P),ELECTRIC(BOV),304,138
2025,April,4,E-RICKSHAW(P),ELECTRIC(BOV),75,138
2025,April,4,EARTH MOVING EQUIPMENT,DIESEL,5,248
2025,April,4,EDUCATIONAL INSTITUTION BUS,DIESEL,49,26
2025,April,4,EXCAVATOR (NT),DIESEL,92,251
2025,April,4,FIRE FIGHTING VEHICLE,DIESEL,7,308
2025,April,4,FIRE TENDERS,DIESEL,3,307
2025,April,4,FORK LIFT,DIESEL,1,267
2025,April,4,GOODS CARRIER,CNG ONLY,3,184
2025,April,4,GOODS CARRIER,DIESEL,1772,182
2025,April,4,GOODS CARRIER,ELECTRIC(BOV),1,185
2025,April,4,GOODS CARRIER,PETROL,173,183
2025,April,4,GOODS CARRIER,PETROL/CNG,1,186
2025,April,4,GOODS CARRIER,PETROL/ETHANOL,9,187
2025,April,4,GOODS CARRIER,ELECTRIC(BOV),2,185
2025,April,4,HARVESTER,DIESEL,62,284
2025,April,4,M-CYCLE/SCOOTER,ELECTRIC(BOV),171,77
2025,April,4,M-CYCLE/SCOOTER,ETHANOL,2,81
2025,April,4,M-CYCLE/SCOOTER,PETROL,36886,78
2025,April,4,M-CYCLE/SCOOTER,PETROL/ETHANOL,2672,79
2025,April,4,M-CYCLE/SCOOTER,ELECTRIC(BOV),2006,77
2025,April,4,MAXI CAB,DIESEL,27,59
2025,April,4,MAXI CAB,PETROL,10,61
2025,April,4,MOPED,ELECTRIC(BOV),1,87
2025,April,4,MOPED,PETROL,370,86
2025,April,4,MOPED,PETROL/ETHANOL,77,88
2025,April,4,MOPED,ELECTRIC(BOV),5,87
2025,April,4,MOTOR CAB,DIESEL,28,48
2025,April,4,MOTOR CAB,PETROL,35,49
2025,April,4,MOTOR CAB,PETROL/CNG,2,51
2025,April,4,MOTOR CAB,PETROL/ETHANOL,3,52
2025,April,4,MOTOR CAB,PETROL/HYBRID,5,50
2025,April,4,MOTOR CAR,DIESEL,724,152
2025,April,4,MOTOR CAR,DIESEL/HYBRID,4,157
2025,April,4,MOTOR CAR,ELECTRIC(BOV),49,156
2025,April,4,MOTOR CAR,PETROL,2123,153
2025,April,4,MOTOR CAR,PETROL/CNG,25,158
2025,April,4,MOTOR CAR,PETROL/ETHANOL,691,154
2025,April,4,MOTOR CAR,PETROL/HYBRID,739,155
2025,April,4,MOTOR CAR,ELECTRIC(BOV),90,156
2025,April,4,MOTOR CAR,PETROL/HYBRID,59,155
2025,April,4,OMNI BUS (PRIVATE USE),DIESEL,214,15
2025,April,4,OMNI BUS (PRIVATE USE),PETROL,2,16
2025,April,4,OMNI BUS (PRIVATE USE),PETROL/HYBRID,6,18
2025,April,4,PRIVATE SERVICE VEHICLE,DIESEL,2,32
2025,April,4,ROAD ROLLER,DIESEL,1,258
2025,April,4,THREE WHEELER (GOODS),CNG ONLY,1,110
2025,April,4,THREE WHEELER (GOODS),DIESEL,68,109
2025,April,4,THREE WHEELER (GOODS),ELECTRIC(BOV),50,111
2025,April,4,THREE WHEELER (GOODS),ELECTRIC(BOV),13,111
2025,April,4,THREE WHEELER (PASSENGER),CNG ONLY,9,118
2025,April,4,THREE WHEELER (PASSENGER),DIESEL,41,119
